Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,Postal_Code,Latitude,Longitude
Quebec,Low Wage,Peinture Industrielle DJ inc,"Lévis, QC G7A 2N2","95109-Other labourers in processing, manufacturing and utilities",Unknown,1,1,G7A 2N2,46.6842,-71.3827
Quebec,Low Wage,Performance Laurentides inc.,"Mont-Laurier, QC J9L 1M8","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,J9L 1M8,46.5501,-75.4993
Quebec,Low Wage,Pharmacie Jean Coutu New Richmond / Caplan,"New Richmond, QC G0C 2B0",33103-Pharmacy technical assistants and pharmacy assistants,Corporation,1,2,G0C 2B0,48.3429,-65.5961
Quebec,Low Wage,Pharmacie Jean Coutu New Richmond / Caplan,"New Richmond, QC G0C 2B0",64100-Retail salespersons and visual merchandisers,Corporation,1,1,G0C 2B0,48.3429,-65.5961
Quebec,Low Wage,Phil Smoked Meat,"Quebec, QC G1K 3B6",63200-Cooks,Unknown,1,1,G1K 3B6,46.814,-71.2194
Quebec,Low Wage,Philippe Trépanier Inc.,"Saguenay, QC G7X 7W4",94105-Metalworking and forging machine operators,Unknown,1,4,G7X 7W4,48.3199,-71.4149
Quebec,Low Wage,PHOENIX AUTO R,"MONTREAL NORD, QC H1G 5B2","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,H1G 5B2,45.6109,-73.6211
Quebec,Low Wage,Physiothérapie PML,"SAINT-RÉMI, QC J0L 2L0",13112-Medical administrative assistants,Unknown,1,1,J0L 2L0,45.1956,-73.5695
Quebec,Low Wage,Pic & Pac distributions inc.,"Saint-Germain-de-Grantham, QC J0C 1K0",75101-Material handlers,Unknown,1,2,J0C 1K0,45.8567,-72.6966
Quebec,Low Wage,Pièces d'autos Langevin Ltée,"Marieville, QC J3M 1P1","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,J3M 1P1,45.4334,-73.1659
Quebec,Low Wage,Pieux Vistech Inc.,"Sherbrooke, QC J1N 0G2",72106-Welders and related machine operators,Corporation,1,2,J1N 0G2,45.3395,-72.0128
Quebec,Low Wage,Piscines Ste-Marie inc,"Ste-Marie-de-Beauce, QC G6E 2S5",73200-Residential and commercial installers and servicers,Unknown,1,1,G6E 2S5,46.434,-71.0117
Quebec,Low Wage,Pizza Ramos,"Québec, QC G1N 1J4","65201-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,G1N 1J4,46.8035,-71.2639
Quebec,Low Wage,Pizzeria La Piazzetta Inc,"Quebec, QC G1R 1R1",63200-Cooks,Unknown,1,1,G1R 1R1,46.8074,-71.2181
Quebec,Low Wage,Plastique Art Ltée.,"Sainte-Claire, QC G0R 2V0",72101-Tool and die makers,Unknown,1,1,G0R 2V0,46.798,-70.3288
Quebec,Low Wage,Plomberie Pichette inc,"Québec, QC G1M 2X5",72106-Welders and related machine operators,Unknown,1,1,G1M 2X5,46.8183,-71.2706
Quebec,Low Wage,plomberie Roy alma ltee,"alma, QC G8B 3K7",13110-Administrative assistants,Unknown,1,1,G8B 3K7,48.5548,-71.673
Quebec,Low Wage,PNEUS D.M.R. INC.,"St-Augustin-de-Desmaures, QC G3A 2R1",74203-Automotive and heavy truck and equipment parts installers and servicers,Unknown,1,1,G3A 2R1,46.7406,-71.4513
Quebec,Low Wage,PNEUS ET MÉCANIQUE WELLINGTON INC.,"SHERBROOKE, QC J1H 5E4","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,J1H 5E4,45.3891,-71.8986
Quebec,Low Wage,Poissonnerie Cévic inc.,"SAINTE-ANNE-DES-MONTS, QC G4V 1T5",63201-Butchers - retail and wholesale,Unknown,1,1,G4V 1T5,48.9711,-66.3082
Quebec,Low Wage,Poissonnerie Gagnon Inc.,"Rimouski, QC G5L 1H1",63200-Cooks,Unknown,1,1,G5L 1H1,48.416,-68.5979
Quebec,Low Wage,POLINA PIZZERIA,"Québec, QC G1R 1Z1",63200-Cooks,Corporation,1,1,G1R 1Z1,46.8074,-71.2181
Quebec,Low Wage,Pomerleau inc.,"Saint-Georges, QC G5Y 0H1",12100-Executive assistants,Unknown,1,1,G5Y 0H1,46.1326,-70.6375
Quebec,Low Wage,Pomerleau inc.,"Saint-Georges, QC G5Y 0H1",12112-Records management technicians,Unknown,1,1,G5Y 0H1,46.1326,-70.6375
Quebec,Low Wage,Pomerleau inc.,"Saint-Georges, QC G5Y 0H1",13110-Administrative assistants,Unknown,1,1,G5Y 0H1,46.1326,-70.6375
Quebec,Low Wage,Pom-Terre inc.,"Québec, QC G1N 4T9",95106-Labourers in food and beverage processing,Unknown,1,1,G1N 4T9,46.8035,-71.2639
Quebec,Low Wage,"Poseidon ""Les Poissons et Crustacés""Inc","Longue-Pointe de Mingan, QC G0G 1V0",72400-Construction millwrights and industrial mechanics,Unknown,1,2,G0G 1V0,53.0413,-68.6884
Quebec,Low Wage,Prémoulé Inc.,"Québec, QC G1P 3S3",14400-Shippers and receivers,Unknown,1,1,G1P 3S3,46.8097,-71.3102
Quebec,Low Wage,Prémoulé Inc.,"Québec, QC G1P 3S3",72311-Cabinetmakers,Unknown,1,1,G1P 3S3,46.8097,-71.3102
Quebec,Low Wage,Prévention incendie Nordik inc.,"Sept-Îles, QC G4R 1K5",12100-Executive assistants,Unknown,1,1,G4R 1K5,50.8558,-67.0511
Quebec,Low Wage,PRÉVENTION RÉPARATION MÉCANIQUE INC.,"Québec, QC G1C 1C7",74203-Automotive and heavy truck and equipment parts installers and servicers,Unknown,1,2,G1C 1C7,46.8801,-71.196
Quebec,Low Wage,Produit forestier D&G,"Ste-Aurélie, QC G0M 1M0",94124-Woodworking machine operators,Unknown,1,2,G0M 1M0,45.9718,-70.6565
Quebec,Low Wage,Produits Forestiers Béland Ltée,"Lévis, QC G7A 1A8",94124-Woodworking machine operators,Unknown,1,1,G7A 1A8,46.6842,-71.3827
Quebec,Low Wage,PRODUITS MARINS LA POISSONNIÈRE INC.,"CAP AUX MEULES, QC G4T 1C8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,G4T 1C8,47.3999,-61.7996
Quebec,Low Wage,Produits Neptune Inc,"St-Hyacinthe, QC J2S 1H3",14400-Shippers and receivers,Unknown,1,1,J2S 1H3,45.6139,-72.9912
Quebec,Low Wage,Produits Pâtisserie Michaud,"québec, QC G3J 1Y8",63202-Bakers,Unknown,2,2,G3J 1Y8,46.8603,-71.4752
Quebec,Low Wage,Produits Pâtisserie Michaud,"québec, QC G3J 1Y8",95106-Labourers in food and beverage processing,Unknown,1,1,G3J 1Y8,46.8603,-71.4752
Quebec,Low Wage,Produits Proflex inc.,"Drummondville, QC J2C 0C1",72311-Cabinetmakers,Unknown,1,1,J2C 0C1,45.8893,-72.5055
Quebec,Low Wage,Produits Proflex inc.,"Drummondville, QC J2C 0C1",94111-Plastics processing machine operators,Unknown,1,2,J2C 0C1,45.8893,-72.5055
Quebec,Low Wage,Profil Performance,"Gatineau, QC J8P 3W1","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,J8P 3W1,45.4869,-75.6157
Quebec,Low Wage,Projet Céramike inc,"Victoriaville, QC G6P 5W3",73101-Tilesetters,Unknown,1,2,G6P 5W3,46.0529,-71.9477
Quebec,Low Wage,Pro-Jet Démolition inc.,"Châteauguay, QC J6J 4Z2","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,J6J 4Z2,45.3691,-73.7216
Quebec,Low Wage,Prolam Société en commandite,"Cap-St-Ignace, QC G0R 1H0",94211-Assemblers and inspectors of other wood products,Unknown,1,6,G0R 1H0,46.798,-70.3288
Quebec,Low Wage,Promutuel Assurance du Saint-Laurent aux Appalaches,"Laurier-Station, QC G0S 1N0",63100-Insurance agents and brokers,Partnership,2,2,G0S 1N0,46.4526,-71.4397
Quebec,Low Wage,Propair.Inc,"Rouyn-Noranda, QC J9Y 0G1",14404-Dispatchers,Unknown,1,2,J9Y 0G1,48.1607,-79.0714
Quebec,Low Wage,Proxi,"Québec, QC G1W 4X9",65310-Light duty cleaners,Corporation,1,1,G1W 4X9,46.7589,-71.298
Quebec,Low Wage,Qualité Étudiants Inc.,"Laval, QC H7P 4W5",73112-Painters and decorators (except interior decorators),Unknown,1,2,H7P 4W5,45.578,-73.8004
Quebec,Low Wage,Québec natation 2019 inc.,"Québec, QC G1X 1R4","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1,G1X 1R4,46.7749,-71.3344
Quebec,Low Wage,Québec Pro-Pli Inc,"Québec, QC G1P 4J5",94105-Metalworking and forging machine operators,Unknown,1,1,G1P 4J5,46.8097,-71.3102
Quebec,Low Wage,QUIRION MÉTAL INC.,"Beauceville, QC G5X 1N7",72100-Machinists and machining and tooling inspectors,Unknown,1,1,G5X 1N7,46.2179,-70.7787
Quebec,Low Wage,Qusac Decaf Inc,"Salaberry-De-Valleyfield, QC J6T 6G3","94140-Process control and machine operators, food and beverage processing",Unknown,2,2,J6T 6G3,45.2409,-74.1098
Quebec,Low Wage,R.Robitaille et fils inc.,"Farnham, QC J2N 2N4",65311-Specialized cleaners,Unknown,1,1,J2N 2N4,45.2834,-72.9824
Quebec,Low Wage,RAD Technologies Inc,"Thetford Mines, QC G6G 5R7",72106-Welders and related machine operators,Unknown,1,1,G6G 5R7,46.0937,-71.3054
Quebec,Low Wage,Raymond Architectural Inc.,"Drummondville, QC J2B 5T7",75101-Material handlers,Unknown,1,1,J2B 5T7,45.9061,-72.5929
Quebec,Low Wage,RAYMOND MARTIN LTEE,"Québec, QC G1N  3Y",75110-Construction trades helpers and labourers,Corporation,1,1,,,
Quebec,Low Wage,Réal Mondou inc,"Mirabel, QC J7N 2C2","94140-Process control and machine operators, food and beverage processing",Unknown,1,1,J7N 2C2,45.6345,-74.1005
Quebec,Low Wage,Rechapage Ray Inc.,"Richmond, QC J0B 2H0",95104-Labourers in rubber and plastic products manufacturing,Unknown,1,1,J0B 2H0,45.1001,-72.0491
Quebec,Low Wage,Récupération Frontenac Inc,"Thetford Mines, QC G6G 7Y3","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,G6G 7Y3,46.0937,-71.3054
Quebec,Low Wage,Récupération Frontenac Inc,"Thetford Mines, QC G6G 7Y3",72400-Construction millwrights and industrial mechanics,Unknown,1,1,G6G 7Y3,46.0937,-71.3054
Quebec,Low Wage,Récupération Frontenac Inc,"Thetford Mines, QC G6G 7Y3","95109-Other labourers in processing, manufacturing and utilities",Unknown,2,3,G6G 7Y3,46.0937,-71.3054
Quebec,Low Wage,Refraco,"Chicoutimi, QC G7K 1J2",72320-Bricklayers,Unknown,1,1,G7K 1J2,48.3689,-71.1175
Quebec,Low Wage,Réfrigération Thetford inc,"Thetford Mines, QC G6G 7W1","72402-Heating, refrigeration and air conditioning mechanics",Unknown,1,1,G6G 7W1,46.0937,-71.3054
Quebec,Low Wage,Rembourrage J.A. Martineau inc.,"Saint-Germain-de-Grantham, QC J0C 1K0",94106-Machining tool operators,Unknown,1,1,J0C 1K0,45.8567,-72.6966
Quebec,Low Wage,Remorquage Laurin inc,"Saint-Liboire, QC J0H 1R0",13100-Administrative officers,Unknown,1,1,J0H 1R0,45.6609,-72.77
Quebec,Low Wage,Remorquage S.O.S. Saguenay Inc.,"Saguenay, QC G7H 5B1","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,G7H 5B1,48.4187,-71.0417
Quebec,Low Wage,Remorquage S.O.S. Saguenay Inc.,"Saguenay, QC G7H 5B1",73300-Transport truck drivers,Unknown,1,1,G7H 5B1,48.4187,-71.0417
Quebec,Low Wage,Rénovation A.N. Inc.,"Québec, QC G3G 2R9",75110-Construction trades helpers and labourers,Unknown,1,1,G3G 2R9,46.9242,-71.3958
Quebec,Low Wage,Résidence Boiscastel,"coaticook, QC J1A 1L7",63200-Cooks,Unknown,1,1,J1A 1L7,45.1334,-71.7991
Quebec,Low Wage,Résidence Bourg-Joli,"Saint-hyacinthe, QC J2S 5S3","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,J2S 5S3,45.6139,-72.9912
Quebec,Low Wage,Résidence Cardinal-Vachon,"Québec, QC G1E 7C7","33102-Nurse aides, orderlies and patient service associates",Non-Profit Organization,1,1,G1E 7C7,46.8588,-71.192
Quebec,Low Wage,Résidence Cardinal-Vachon,"Québec, QC G1E 7C7",65310-Light duty cleaners,Non-Profit Organization,2,3,G1E 7C7,46.8588,-71.192
Quebec,Low Wage,Résidence des Oliviers Inc.,"Granby, QC J2J 0N4","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,J2J 0N4,45.4005,-72.7825
Quebec,Low Wage,Résidence Domaine Borromée,"Brossard, QC J4W 1M9",32101-Licensed practical nurses,Corporation,1,1,J4W 1M9,45.4674,-73.4832
Quebec,Low Wage,Résidence Domaine Borromée,"Brossard, QC J4W 1M9","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,J4W 1M9,45.4674,-73.4832
Quebec,Low Wage,RÉSIDENCE DU FJORD INC.,"Saguenay, QC G7H 2A8","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,G7H 2A8,48.4187,-71.0417
Quebec,Low Wage,Résidence Entre-Deux,"Trois-Rivières, QC G8Y 0G5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,G8Y 0G5,46.3668,-72.6168
Quebec,Low Wage,Résidence Estacade,"Saint-Raymond, QC G3L 0E6","33102-Nurse aides, orderlies and patient service associates",Corporation,2,3,G3L 0E6,47.2374,-71.8763
Quebec,Low Wage,Résidence Évolutive Granby inc,"Granby, QC J2G 7A4","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,J2G 7A4,45.4046,-72.7202
Quebec,Low Wage,Résidence Haut Bois inc,"Sherbrooke, QC J1N 2J1","33102-Nurse aides, orderlies and patient service associates",Corporation,3,3,J1N 2J1,45.3395,-72.0128
Quebec,Low Wage,RESIDENCE HELENE LAVOIE,"LA POCATIÈRE, QC G0R 1Z0","33102-Nurse aides, orderlies and patient service associates",Corporation,2,3,G0R 1Z0,46.798,-70.3288
Quebec,Low Wage,RESIDENCE HELENE LAVOIE,"LA POCATIÈRE, QC G0R 1Z0",63200-Cooks,Corporation,2,2,G0R 1Z0,46.798,-70.3288
Quebec,Low Wage,RESIDENCE HUMANIS INC,"Baie-Comeau, QC G5C 1P4","33102-Nurse aides, orderlies and patient service associates",Corporation,3,5,G5C 1P4,50.3474,-69.0411
Quebec,Low Wage,Residence L. Jasmin inc.,"Saint-Jérôme, QC J4Z 1Y4",65310-Light duty cleaners,Corporation,1,1,J4Z 1Y4,45.4424,-73.4231
Quebec,Low Wage,Résidence La Guadeloupe Inc,"La Guadeloupe, QC G0M 1G0","33102-Nurse aides, orderlies and patient service associates",Unknown,2,2,G0M 1G0,45.9718,-70.6565
Quebec,Low Wage,RESIDENCE LA SOURCE 2008,"Québec, QC G1M 3A5","33102-Nurse aides, orderlies and patient service associates",Corporation,1,2,G1M 3A5,46.8183,-71.2706
Quebec,Low Wage,RESIDENCE LA SOURCE 2008,"Québec, QC G1M 3A5",63200-Cooks,Corporation,1,1,G1M 3A5,46.8183,-71.2706
Quebec,Low Wage,Résidence Lachance Sarrazin inc,"Mont-Tremblant, QC J8E 1W3","33102-Nurse aides, orderlies and patient service associates",Unknown,2,2,J8E 1W3,46.1949,-74.6264
Quebec,Low Wage,Résidence Le Boisé sur Mer,"Les Escoumins, QC G0T 1K0","33102-Nurse aides, orderlies and patient service associates",Unknown,2,2,G0T 1K0,49.0143,-69.6231
Quebec,Low Wage,Résidence Le riverain 2016 INC.,"Lotbinière, QC G0S 1S0","33102-Nurse aides, orderlies and patient service associates",Unknown,2,2,G0S 1S0,46.4526,-71.4397
Quebec,Low Wage,Résidence Le St-Augustin,"Saint-Augustin-de-Desmaures, QC G3A 0R6","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,G3A 0R6,46.7406,-71.4513
Quebec,Low Wage,Résidence Les Jardins de Montarville,"boucherville, QC J4B 4W7","33102-Nurse aides, orderlies and patient service associates",Unknown,3,6,J4B 4W7,45.591,-73.4361
Quebec,Low Wage,RÉSIDENCE MARIE-PIER INC,"SAINT-CÔME-LINIÈRE, QC G0M 1J0","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,G0M 1J0,45.9718,-70.6565
Quebec,Low Wage,Résidence Monseigneur (MGR) Bourget inc.,"Lévis, QC G6V 2Y5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,G6V 2Y5,46.8033,-71.1779
Quebec,Low Wage,Résidence Nova Vita,"Laval, QC H7V 2P8",63200-Cooks,Unknown,1,1,H7V 2P8,45.5478,-73.7368
Quebec,Low Wage,Résidence pour personnes âgées Mimi La Douce Inc.,"proulxville, QC G0X 2B0","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,G0X 2B0,47.9168,-74.6159
Quebec,Low Wage,Résidence Régnault Inc.,"Sept-Îles, QC G4R 3G5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,G4R 3G5,50.8558,-67.0511
Quebec,Low Wage,Résidence Sainte-Élizabeth-de-Warwick,"Ste-Élizabeth-de-Warwick, QC J0A  1M","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,,,
Quebec,Low Wage,Résidence St-Jean-sur-Richelieu,"St-Jean-sur-Richelieu, QC J2W 0B7","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,J2W 0B7,45.3694,-73.3137
Quebec,Low Wage,Résidence St-Joseph de Nicolet Inc.,"Nicolet, QC J3T 1W4","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,J3T 1W4,46.2168,-72.6158
Quebec,Low Wage,Résidence St-Sacrement,"Alma, QC G8B  7W",14400-Shippers and receivers,Corporation,1,1,,,
Quebec,Low Wage,Résidence St-Sacrement,"Alma, QC G8B  7W","33102-Nurse aides, orderlies and patient service associates",Corporation,3,3,,,
Quebec,Low Wage,Résidence St-Sacrement,"Alma, QC G8B  7W","65201-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,,,
Quebec,Low Wage,Résidences de l’Estrie Inc.,"Sherbrooke, QC J1M 1J7","33102-Nurse aides, orderlies and patient service associates",Sole Proprietorship,3,4,J1M 1J7,45.3656,-71.842
Quebec,Low Wage,Résidences de l’Estrie Inc.,"Sherbrooke, QC J1M 1J7",63200-Cooks,Sole Proprietorship,1,1,J1M 1J7,45.3656,-71.842
Quebec,Low Wage,Résidences des Bâtisseurs - La Malbaie,"La Malbaie, QC G5A 1J3","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,G5A 1J3,47.6575,-70.1559
Quebec,Low Wage,RÉSIDENCES LE CHATEAU DU BEL AGE INC.,"WINDSOR, QC J1S 1J3","33102-Nurse aides, orderlies and patient service associates",Unknown,2,3,J1S 1J3,45.5668,-71.9991
Quebec,Low Wage,Résidences le Grand Manoir (2005) Inc.,"Saint-Jean-de-Matha, QC J0K 2S0","33102-Nurse aides, orderlies and patient service associates",Unknown,1,6,J0K 2S0,46.7966,-73.8705
Quebec,Low Wage,RESIDENCES MIMOSAS,"Québec, QC G1H  5A","33102-Nurse aides, orderlies and patient service associates",Corporation,1,1,,,
Quebec,Low Wage,Résidences pour ainés Immo 1ere Inc,"Outremont, QC H3T 2A3","33102-Nurse aides, orderlies and patient service associates",Unknown,5,5,H3T 2A3,45.5018,-73.6191
Quebec,Low Wage,Résidences pour ainés Immo 1ere Inc,"Outremont, QC H3T 2A3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H3T 2A3,45.5018,-73.6191
Quebec,Low Wage,Ressorts Maska inc.,"St-Hyacinthe, QC J2R 1P8",72401-Heavy-duty equipment mechanics,Unknown,1,1,J2R 1P8,45.6567,-72.9237
Quebec,Low Wage,Ressource intermédiaire des Patriotes,"beloeil, QC J3G 0J5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,J3G 0J5,45.5946,-73.2283
Quebec,Low Wage,Ressource Notre-Dame-de-la-Paix S.E.C,"Verdun, QC H4G 1R9","33102-Nurse aides, orderlies and patient service associates",Corporation,3,4,H4G 1R9,45.4643,-73.5698
Quebec,Low Wage,RESSOURCES DE RÉINSERTION LE PHARE,"Port Cartier, QC G5B 1C9","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,G5B 1C9,50.0334,-66.8655
Quebec,Low Wage,RESSOURCES DE RÉINSERTION LE PHARE,"Port Cartier, QC G5B 1C9",72400-Construction millwrights and industrial mechanics,Unknown,1,1,G5B 1C9,50.0334,-66.8655
Quebec,Low Wage,Ressources d'hébergement Rouyn-Noranda,"Rouyn-Noranda, QC J9X 5H5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,J9X 5H5,48.2855,-78.8234
Quebec,Low Wage,Rest Place Mont-Laurier Pizzéria,"Mont Laurier, QC J9L 1K7",63200-Cooks,Corporation,1,1,J9L 1K7,46.5501,-75.4993
Quebec,Low Wage,Restaurant  Bistro Pilsen Inc,"North Hatley, QC J0B 2C0",62200-Chefs,Unknown,1,1,J0B 2C0,45.1001,-72.0491
Quebec,Low Wage,Restaurant au Pavillon Noir,"La Baie, QC G7B 0K2",63200-Cooks,Unknown,1,1,G7B 0K2,48.3398,-70.8893
Quebec,Low Wage,Restaurant Boucherie Barbuck inc,"Lac Etchemin, QC G0R 1S0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,G0R 1S0,46.798,-70.3288
Quebec,Low Wage,Restaurant CocoRoyal,"DRUMMONDVILLE, QC J2C 2B9",63200-Cooks,Corporation,1,1,J2C 2B9,45.8893,-72.5055
Quebec,Low Wage,Restaurant La Selva,"Bromont, QC J2L 2K5","65201-Food counter attendants, kitchen helpers and related support occupations",Partnership,1,1,J2L 2K5,45.3168,-72.6491
Quebec,Low Wage,Restaurant Laurie Raphaël inc.,"Quebec City, QC G1K 9C8",63202-Bakers,Unknown,1,1,G1K 9C8,46.814,-71.2194
Quebec,Low Wage,Restaurant Laurie Raphaël inc.,"Quebec City, QC G1K 9C8",65200-Food and beverage servers,Unknown,1,1,G1K 9C8,46.814,-71.2194
Quebec,Low Wage,Restaurant Le Continental inc,"Québec, QC G1R 3Y9",63200-Cooks,Unknown,1,1,G1R 3Y9,46.8074,-71.2181
Quebec,Low Wage,Restaurant Le Continental inc,"Québec, QC G1R 3Y9",65200-Food and beverage servers,Unknown,1,1,G1R 3Y9,46.8074,-71.2181
Quebec,Low Wage,Restaurant Le Fougasse,"Sorel-Tracy, QC J3P 4M5",63200-Cooks,Corporation,1,1,J3P 4M5,46.0365,-73.0665
Quebec,Low Wage,RESTAURANT LE SAINT PATRICE INC,"RIVIERE DU LOUP, QC G5R 1E2",63200-Cooks,Unknown,1,1,G5R 1E2,47.8304,-69.5342
Quebec,Low Wage,RESTAURANT L'ÉCHAUDÉ (2010) inc.,"Quebec, QC G1K 3Y9",63202-Bakers,Unknown,1,1,G1K 3Y9,46.814,-71.2194
Quebec,Low Wage,Restaurant Lotus Valleyfield inc.,"Salaberry-de-Valleyfield, QC J6T 1A4",63200-Cooks,Unknown,1,1,J6T 1A4,45.2409,-74.1098
Quebec,Low Wage,Restaurant Maison de Spaghetti,"Rimouski, QC G5L 1A3",63200-Cooks,Corporation,1,3,G5L 1A3,48.416,-68.5979
Quebec,Low Wage,Restaurant Nickels,"Gatineau, QC J8T  8M",63200-Cooks,Corporation,1,1,,,
Quebec,Low Wage,Restaurant Pacini Rimouski,"Rimouski, QC G5L  3E",63200-Cooks,Corporation,2,3,,,
Quebec,Low Wage,Restaurant St-Antoine de Ste-Flore,"Shawinigan, QC G9T 1A6",63200-Cooks,Corporation,1,1,G9T 1A6,46.6315,-72.737
Quebec,Low Wage,Restaurant St-Hubert,"Amos, QC J9T  1W",63200-Cooks,Corporation,1,2,,,
Quebec,Low Wage,Resto Pita Shawarma INC.,"Lévis, QC G6V 7E4",63202-Bakers,Corporation,1,1,G6V 7E4,46.8033,-71.1779
Quebec,Low Wage,Resto Pita Shawarma INC.,"Lévis, QC G6V 7E4","65201-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,G6V 7E4,46.8033,-71.1779
Quebec,Low Wage,Resto-Pub L'Immédia,"Québec, QC G1X 4Y5","65201-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,G1X 4Y5,46.7749,-71.3344
Quebec,Low Wage,Revêtement Industriel Prizma Inc.,"Gatineau, QC J8R 0G5",95101-Labourers in metal fabrication,Unknown,1,1,J8R 0G5,45.5287,-75.6088
Quebec,Low Wage,RG 06 inc.,"Carleton-sur-Mer, QC G0C 1J0",60030-Restaurant and food service managers,Unknown,1,1,G0C 1J0,48.3429,-65.5961
Quebec,Low Wage,RH MAIKAY INC,"Varennes, QC J3X 1J3",13110-Administrative assistants,Unknown,1,1,J3X 1J3,45.6834,-73.4325
Quebec,Low Wage,Rhesus Inc,"Victoriaville, QC G6T 1S7",22220-Computer network and web technicians,Unknown,2,2,G6T 1S7,46.0828,-71.9728
Quebec,Low Wage,RICHARD BERGERON ET FILS INC,"SAINT-SAMUEL, QC G0Z 1G0",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1,G0Z 1G0,46.179,-72.1569
Quebec,Low Wage,ROBERT DAVIDSON INC.,"St-Rémi, QC J0L 2L0",72400-Construction millwrights and industrial mechanics,Unknown,1,1,J0L 2L0,45.1956,-73.5695
Quebec,Low Wage,ROBOVIC Inc,"Princeville, QC G6L 4M1",72100-Machinists and machining and tooling inspectors,Unknown,1,1,G6L 4M1,46.2186,-71.762
Quebec,Low Wage,ROBOVIC Inc,"Princeville, QC G6L 4M1",72422-Electrical mechanics,Unknown,1,1,G6L 4M1,46.2186,-71.762
Quebec,Low Wage,Rodrigue Métal LTEE,"LÉVIS, QC G6W 5M6",72106-Welders and related machine operators,Corporation,3,4,G6W 5M6,46.7546,-71.22
Quebec,Low Wage,Roger Maheux Ltée,"Rouyn-Noranda, QC J9Y 0E2","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,J9Y 0E2,48.1607,-79.0714
Quebec,Low Wage,Rose Hill Foods Inc. Les Alime,"Saint-Laurent, QC H4S 2A2","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,H4S 2A2,45.4858,-73.7433
Quebec,Low Wage,Rose Hill Foods Inc. Les Alime,"Saint-Laurent, QC H4S 2A2",95106-Labourers in food and beverage processing,Unknown,1,1,H4S 2A2,45.4858,-73.7433
Quebec,Low Wage,Rotisserie Orford inc,"Magog, QC J1X 2R6",62020-Food service supervisors,Unknown,1,1,J1X 2R6,45.2668,-72.1491
Quebec,Low Wage,Routiers avantage inc.,"Chicoutimi, QC G7H 5B1",72401-Heavy-duty equipment mechanics,Unknown,1,1,G7H 5B1,48.4187,-71.0417
Quebec,Low Wage,ROUYN-NORANDA MITSUBISHI,"Rouyn-Noranda, QC J9Y 0G3",14401-Storekeepers and partspersons,Corporation,1,1,J9Y 0G3,48.1607,-79.0714
Quebec,Low Wage,ROUYN-NORANDA MITSUBISHI,"Rouyn-Noranda, QC J9Y 0G3","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,J9Y 0G3,48.1607,-79.0714
Quebec,Low Wage,Royal Institute for the Advancement of Learning,"Montreal, QC H3A 0G4",41201-Post-secondary teaching and research assistants,Unknown,1,1,H3A 0G4,45.504,-73.5747
Quebec,Low Wage,RPA 6900 Papineau Inc,"Montreal, QC H2G 2X7","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,H2G 2X7,45.5438,-73.5927
